forsterite,fo
fayalite,fa
tephroite,teph
larnite_bredigite,lrn
monticellite,mont
clinohumite,chum
pyrope,py
almandine,alm
spessartine,spss
grossular,gr
andradite,andr
osumilite_1,osm1
osumilite_2,osm2
Fe_osumilite,fosm
vesuvianite,vsv
andalusite,and
kyanite,ky
sillimanite,sill
hydroxy_topaz,tpz
Mg_staurolite,mst
Fe_staurolite,fst
Mn_staurolite,mnst
Mg_chloritoid,mctd
Fe_chloritoid,fctd
Mn_chloritoid,mnctd
merwinite,merw
spurrite,spu
zoisite,zo
clinozoisite,cz
Fe_epidote,fep
epidote,ep
lawsonite,law
pumpellyite,pump
gehlenite,geh
akermanite,ak
rankinite,rnk
tilleyite,ty
cordierite,crd
hydrous_cordierite,hcrd
Fe_cordierite,fcrd
Mn_cordierite,mncrd
phase_A,phA
sphene,sph
zircon,zrc
enstatite,en
ferrosilite,fs
Mg_Tschermak_pyroxene,mgts
diopside,di
hedenbergite,hed
jadeite,jd
acmite,acm
Ca_Tschermak_pyroxene,cats
rhodonite,rhod
pyroxmangite,pxmn
wollastonite,wo
pseudowollastonite,pswo
tremolite,tr
ferroactinolite,fact
tschermakite,ts
pargasite,parg
glaucophane,gl
Fe_glaucophane,fgl
riebeckite,rieb
anthophyllite,anth
Fe_anthophyllite,fanth
cummingtonite,cumm
grunerite,grun
gedrite,ged
sapphirine_442,spr4
sapphirine_793,spr7
Fe_sapphirine,fspr
Mg_carpholite,mcar
Fe_carpholite,fcar
deerite,deer
muscovite,mu
celadonite,cel
Fe_celadonite,fcel
paragonite,pa
margarite,ma
phlogopite,phl
annite,ann
Mn_biotite,mnbi
eastonite,east
Na_phlogopite,naph
clinochlore,clin
amesite,ames
Al_free_chlorite,afchl
daphnite,daph
Mn_chlorite,mnchl
sudoite,sud
Fe_sudoite,fsud
pyrophyllite,prl
talc,ta
Fe_talc,fta
tschermak_talc,tats
kaolinite,kao
prehnite,pre
chrysotile,chr
antigorite,atg
albite,ab
high_albite,abh
microcline,mic
sanidine,san
anorthite,an
quartz,q
tridymite,trd
cristobalite,crst
coesite,coe
stishovite,stv
nepheline,ne
kalsilite,kals
leucite,lc
meionite,me
wairakite,wrk
laumontite,lmt
heulandite,heu
stilbite,stlb
analcite,anl
lime,lime
rutile,ru
periclase,per
manganosite,mang
corundum,cor
hematite,hem
nickel_oxide,NiO
pyrophanite,pnt
geikielite,geik
ilmenite,ilm
baddeleyite,bdy
spinel,sp
hercynite,herc
magnetite,mt
magnesioferrite,mft
ulvospinel,usp
brucite,br
diaspore,dsp
goethite,gth
calcite,cc
aragonite,arag
magnesite,mag
siderite,sid
rhodochrosite,rhc
dolomite,dol
ankerite,ank
sylvite,syv
halite,hlt
iron,iron
nickel,Ni
graphite,gph
diamond,diam
water_fluid,H2O
carbon_dioxide,CO2
carbon_monoxide,CO
methane,CH4
oxygen,O2
hydrogen,H2
sylvite_liquid,syvL
halite_liquid,hltL
forsterite_liquid,foL
fayalite_liquid,faL
sillimanite_liquid,silL
anorthite_liquid,anL
H2O_liquid,h2oL
enstatite_liquid,enL
K_feldspar_liquid,kspL
Silica_liquid,qL
diopside_liquid,diL
albite_liquid,abL
Mg_pelitic_liquid,mliq
Fe_pelitic_liquid,fliq
H2O_pelitic_liquid,hliq
