 ,TP_WR_P2118_NNO+0,TP_WR_P2119_NNO+0,TP_WR_P2120_NNO+0,TP_WR_P2121_NNO+0,TP_WR_P2129_NNO+0,TP_WR_P2130_NNO+0,TP_WR_P2275_NNO+0,TP_WR_P2278_NNO+0,TP_WR_P2280_NNO+0,TP_WR_P2282_NNO+0,TP_WR_P2285_NNO+0,TP_WR_P2293_NNO+0,TP_WR_P2294_NNO+0,TP_WR_P2295_NNO+0,TP_WR_P2296_NNO+0,TP_WR_P2141_NNO+0,TP_WR_P2226A_NNO+0,TP_WR_P2226B_NNO+0,TP_WR_P2226C_NNO+0,TP_WR_P2227_NNO+0,TP_WR_P2228_NNO+0,TP_WR_P2229_NNO+0,TP_WR_P2231_NNO+0,TP_WR_P2233_NNO+0,TP_WR_P2286_NNO+0,TP_WR_P2287_NNO+0,TP_WR_P2288_NNO+0,TP_WR_P2289_NNO+0,TP_WR_P2290_NNO+0,TP_WR_P2291_NNO+0,TP_WR_P2292_NNO+0,TP_WR_P2118_NNO+0.25,TP_WR_P2119_NNO+0.25,TP_WR_P2120_NNO+0.25,TP_WR_P2121_NNO+0.25,TP_WR_P2129_NNO+0.25,TP_WR_P2130_NNO+0.25,TP_WR_P2275_NNO+0.25,TP_WR_P2278_NNO+0.25,TP_WR_P2280_NNO+0.25,TP_WR_P2282_NNO+0.25,TP_WR_P2285_NNO+0.25,TP_WR_P2293_NNO+0.25,TP_WR_P2294_NNO+0.25,TP_WR_P2295_NNO+0.25,TP_WR_P2296_NNO+0.25,TP_WR_P2141_NNO+0.25,TP_WR_P2226A_NNO+0.25,TP_WR_P2226B_NNO+0.25,TP_WR_P2226C_NNO+0.25,TP_WR_P2227_NNO+0.25,TP_WR_P2228_NNO+0.25,TP_WR_P2229_NNO+0.25,TP_WR_P2231_NNO+0.25,TP_WR_P2233_NNO+0.25,TP_WR_P2286_NNO+0.25,TP_WR_P2287_NNO+0.25,TP_WR_P2288_NNO+0.25,TP_WR_P2289_NNO+0.25,TP_WR_P2290_NNO+0.25,TP_WR_P2291_NNO+0.25,TP_WR_P2292_NNO+0.25,TP_WR_P2118_NNO+0.5,TP_WR_P2119_NNO+0.5,TP_WR_P2120_NNO+0.5,TP_WR_P2121_NNO+0.5,TP_WR_P2129_NNO+0.5,TP_WR_P2130_NNO+0.5,TP_WR_P2275_NNO+0.5,TP_WR_P2278_NNO+0.5,TP_WR_P2280_NNO+0.5,TP_WR_P2282_NNO+0.5,TP_WR_P2285_NNO+0.5,TP_WR_P2293_NNO+0.5,TP_WR_P2294_NNO+0.5,TP_WR_P2295_NNO+0.5,TP_WR_P2296_NNO+0.5,TP_WR_P2141_NNO+0.5,TP_WR_P2226A_NNO+0.5,TP_WR_P2226B_NNO+0.5,TP_WR_P2226C_NNO+0.5,TP_WR_P2227_NNO+0.5,TP_WR_P2228_NNO+0.5,TP_WR_P2229_NNO+0.5,TP_WR_P2231_NNO+0.5,TP_WR_P2233_NNO+0.5,TP_WR_P2286_NNO+0.5,TP_WR_P2287_NNO+0.5,TP_WR_P2288_NNO+0.5,TP_WR_P2289_NNO+0.5,TP_WR_P2290_NNO+0.5,TP_WR_P2291_NNO+0.5,TP_WR_P2292_NNO+0.5,TP_WR_P2118_NNO+0.75,TP_WR_P2119_NNO+0.75,TP_WR_P2120_NNO+0.75,TP_WR_P2121_NNO+0.75,TP_WR_P2129_NNO+0.75,TP_WR_P2130_NNO+0.75,TP_WR_P2275_NNO+0.75,TP_WR_P2278_NNO+0.75,TP_WR_P2280_NNO+0.75,TP_WR_P2282_NNO+0.75,TP_WR_P2285_NNO+0.75,TP_WR_P2293_NNO+0.75,TP_WR_P2294_NNO+0.75,TP_WR_P2295_NNO+0.75,TP_WR_P2296_NNO+0.75,TP_WR_P2141_NNO+0.75,TP_WR_P2226A_NNO+0.75,TP_WR_P2226B_NNO+0.75,TP_WR_P2226C_NNO+0.75,TP_WR_P2227_NNO+0.75,TP_WR_P2228_NNO+0.75,TP_WR_P2229_NNO+0.75,TP_WR_P2231_NNO+0.75,TP_WR_P2233_NNO+0.75,TP_WR_P2286_NNO+0.75,TP_WR_P2287_NNO+0.75,TP_WR_P2288_NNO+0.75,TP_WR_P2289_NNO+0.75,TP_WR_P2290_NNO+0.75,TP_WR_P2291_NNO+0.75,TP_WR_P2292_NNO+0.75,TP_WR_P2118_NNO+1,TP_WR_P2119_NNO+1,TP_WR_P2120_NNO+1,TP_WR_P2121_NNO+1,TP_WR_P2129_NNO+1,TP_WR_P2130_NNO+1,TP_WR_P2275_NNO+1,TP_WR_P2278_NNO+1,TP_WR_P2280_NNO+1,TP_WR_P2282_NNO+1,TP_WR_P2285_NNO+1,TP_WR_P2293_NNO+1,TP_WR_P2294_NNO+1,TP_WR_P2295_NNO+1,TP_WR_P2296_NNO+1,TP_WR_P2141_NNO+1,TP_WR_P2226A_NNO+1,TP_WR_P2226B_NNO+1,TP_WR_P2226C_NNO+1,TP_WR_P2227_NNO+1,TP_WR_P2228_NNO+1,TP_WR_P2229_NNO+1,TP_WR_P2231_NNO+1,TP_WR_P2233_NNO+1,TP_WR_P2286_NNO+1,TP_WR_P2287_NNO+1,TP_WR_P2288_NNO+1,TP_WR_P2289_NNO+1,TP_WR_P2290_NNO+1,TP_WR_P2291_NNO+1,TP_WR_P2292_NNO+1
SiO2,74.644,74.375,74.553,74.246,74.452,74.256,74.179,74.213,74.168,74.270,74.013,74.023,73.848,74.159,74.080,74.108,74.000,73.823,74.004,73.689,73.988,74.009,74.018,73.998,74.028,73.991,74.035,73.967,73.938,73.985,73.949,74.644,74.375,74.553,74.246,74.452,74.256,74.179,74.213,74.168,74.270,74.013,74.023,73.848,74.159,74.080,74.108,74.000,73.823,74.004,73.689,73.988,74.009,74.018,73.998,74.028,73.991,74.035,73.967,73.938,73.985,73.949,74.644,74.375,74.553,74.246,74.452,74.256,74.179,74.213,74.168,74.270,74.013,74.023,73.848,74.159,74.080,74.108,74.000,73.823,74.004,73.689,73.988,74.009,74.018,73.998,74.028,73.991,74.035,73.967,73.938,73.985,73.949,74.644,74.375,74.553,74.246,74.452,74.256,74.179,74.213,74.168,74.270,74.013,74.023,73.848,74.159,74.080,74.108,74.000,73.823,74.004,73.689,73.988,74.009,74.018,73.998,74.028,73.991,74.035,73.967,73.938,73.985,73.949,74.644,74.375,74.553,74.246,74.452,74.256,74.179,74.213,74.168,74.270,74.013,74.023,73.848,74.159,74.080,74.108,74.000,73.823,74.004,73.689,73.988,74.009,74.018,73.998,74.028,73.991,74.035,73.967,73.938,73.985,73.949
TiO2,0.282,0.277,0.278,0.284,0.283,0.277,0.285,0.277,0.283,0.289,0.300,0.291,0.297,0.289,0.295,0.289,0.298,0.302,0.293,0.306,0.296,0.293,0.294,0.294,0.293,0.293,0.291,0.293,0.288,0.298,0.290,0.282,0.277,0.278,0.284,0.283,0.277,0.285,0.277,0.283,0.289,0.300,0.291,0.297,0.289,0.295,0.289,0.298,0.302,0.293,0.306,0.296,0.293,0.294,0.294,0.293,0.293,0.291,0.293,0.288,0.298,0.290,0.282,0.277,0.278,0.284,0.283,0.277,0.285,0.277,0.283,0.289,0.300,0.291,0.297,0.289,0.295,0.289,0.298,0.302,0.293,0.306,0.296,0.293,0.294,0.294,0.293,0.293,0.291,0.293,0.288,0.298,0.290,0.282,0.277,0.278,0.284,0.283,0.277,0.285,0.277,0.283,0.289,0.300,0.291,0.297,0.289,0.295,0.289,0.298,0.302,0.293,0.306,0.296,0.293,0.294,0.294,0.293,0.293,0.291,0.293,0.288,0.298,0.290,0.282,0.277,0.278,0.284,0.283,0.277,0.285,0.277,0.283,0.289,0.300,0.291,0.297,0.289,0.295,0.289,0.298,0.302,0.293,0.306,0.296,0.293,0.294,0.294,0.293,0.293,0.291,0.293,0.288,0.298,0.290
Al2O3,13.341,13.452,13.375,13.486,13.383,13.434,13.478,13.481,13.467,13.474,13.566,13.566,13.615,13.524,13.547,13.545,13.599,13.612,13.540,13.761,13.688,13.628,13.629,13.579,13.579,13.532,13.520,13.541,13.595,13.550,13.578,13.341,13.452,13.375,13.486,13.383,13.434,13.478,13.481,13.467,13.474,13.566,13.566,13.615,13.524,13.547,13.545,13.599,13.612,13.540,13.761,13.688,13.628,13.629,13.579,13.579,13.532,13.520,13.541,13.595,13.550,13.578,13.341,13.452,13.375,13.486,13.383,13.434,13.478,13.481,13.467,13.474,13.566,13.566,13.615,13.524,13.547,13.545,13.599,13.612,13.540,13.761,13.688,13.628,13.629,13.579,13.579,13.532,13.520,13.541,13.595,13.550,13.578,13.341,13.452,13.375,13.486,13.383,13.434,13.478,13.481,13.467,13.474,13.566,13.566,13.615,13.524,13.547,13.545,13.599,13.612,13.540,13.761,13.688,13.628,13.629,13.579,13.579,13.532,13.520,13.541,13.595,13.550,13.578,13.341,13.452,13.375,13.486,13.383,13.434,13.478,13.481,13.467,13.474,13.566,13.566,13.615,13.524,13.547,13.545,13.599,13.612,13.540,13.761,13.688,13.628,13.629,13.579,13.579,13.532,13.520,13.541,13.595,13.550,13.578
Fe2O3,2.413,2.427,2.434,2.464,2.443,2.456,2.459,2.432,2.450,2.444,2.554,2.508,2.576,2.470,2.492,2.494,2.549,2.595,2.543,2.618,2.526,2.546,2.528,2.529,2.503,2.546,2.517,2.511,2.515,2.558,2.514,2.413,2.427,2.434,2.464,2.443,2.456,2.459,2.432,2.450,2.444,2.554,2.508,2.576,2.470,2.492,2.494,2.549,2.595,2.543,2.618,2.526,2.546,2.528,2.529,2.503,2.546,2.517,2.511,2.515,2.558,2.514,2.413,2.427,2.434,2.464,2.443,2.456,2.459,2.432,2.450,2.444,2.554,2.508,2.576,2.470,2.492,2.494,2.549,2.595,2.543,2.618,2.526,2.546,2.528,2.529,2.503,2.546,2.517,2.511,2.515,2.558,2.514,2.413,2.427,2.434,2.464,2.443,2.456,2.459,2.432,2.450,2.444,2.554,2.508,2.576,2.470,2.492,2.494,2.549,2.595,2.543,2.618,2.526,2.546,2.528,2.529,2.503,2.546,2.517,2.511,2.515,2.558,2.514,2.413,2.427,2.434,2.464,2.443,2.456,2.459,2.432,2.450,2.444,2.554,2.508,2.576,2.470,2.492,2.494,2.549,2.595,2.543,2.618,2.526,2.546,2.528,2.529,2.503,2.546,2.517,2.511,2.515,2.558,2.514
Cr2O3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FeO,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
MnO,0.090,0.094,0.092,0.093,0.093,0.095,0.094,0.093,0.093,0.093,0.093,0.094,0.096,0.094,0.094,0.095,0.097,0.095,0.098,0.099,0.094,0.095,0.096,0.096,0.095,0.095,0.093,0.096,0.094,0.094,0.095,0.090,0.094,0.092,0.093,0.093,0.095,0.094,0.093,0.093,0.093,0.093,0.094,0.096,0.094,0.094,0.095,0.097,0.095,0.098,0.099,0.094,0.095,0.096,0.096,0.095,0.095,0.093,0.096,0.094,0.094,0.095,0.090,0.094,0.092,0.093,0.093,0.095,0.094,0.093,0.093,0.093,0.093,0.094,0.096,0.094,0.094,0.095,0.097,0.095,0.098,0.099,0.094,0.095,0.096,0.096,0.095,0.095,0.093,0.096,0.094,0.094,0.095,0.090,0.094,0.092,0.093,0.093,0.095,0.094,0.093,0.093,0.093,0.093,0.094,0.096,0.094,0.094,0.095,0.097,0.095,0.098,0.099,0.094,0.095,0.096,0.096,0.095,0.095,0.093,0.096,0.094,0.094,0.095,0.090,0.094,0.092,0.093,0.093,0.095,0.094,0.093,0.093,0.093,0.093,0.094,0.096,0.094,0.094,0.095,0.097,0.095,0.098,0.099,0.094,0.095,0.096,0.096,0.095,0.095,0.093,0.096,0.094,0.094,0.095
MgO,0.304,0.307,0.310,0.317,0.309,0.317,0.331,0.309,0.328,0.324,0.358,0.336,0.365,0.326,0.331,0.324,0.338,0.361,0.338,0.359,0.328,0.327,0.336,0.337,0.328,0.347,0.334,0.347,0.345,0.360,0.353,0.304,0.307,0.310,0.317,0.309,0.317,0.331,0.309,0.328,0.324,0.358,0.336,0.365,0.326,0.331,0.324,0.338,0.361,0.338,0.359,0.328,0.327,0.336,0.337,0.328,0.347,0.334,0.347,0.345,0.360,0.353,0.304,0.307,0.310,0.317,0.309,0.317,0.331,0.309,0.328,0.324,0.358,0.336,0.365,0.326,0.331,0.324,0.338,0.361,0.338,0.359,0.328,0.327,0.336,0.337,0.328,0.347,0.334,0.347,0.345,0.360,0.353,0.304,0.307,0.310,0.317,0.309,0.317,0.331,0.309,0.328,0.324,0.358,0.336,0.365,0.326,0.331,0.324,0.338,0.361,0.338,0.359,0.328,0.327,0.336,0.337,0.328,0.347,0.334,0.347,0.345,0.360,0.353,0.304,0.307,0.310,0.317,0.309,0.317,0.331,0.309,0.328,0.324,0.358,0.336,0.365,0.326,0.331,0.324,0.338,0.361,0.338,0.359,0.328,0.327,0.336,0.337,0.328,0.347,0.334,0.347,0.345,0.360,0.353
NiO,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoO,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
