T,Cp
401.828,53.754
419.433,54.961
439.473,56.124
459.596,57.357
478.372,58.311
499.929,59.479
520.075,60.614
541.106,61.656
558.843,62.489
579.878,63.418
601.013,64.422
621.055,65.338
639.043,66.374
659.296,67.447
679.548,68.287
700.569,69.605
719.919,70.683
740.876,71.777
761.166,73.170
780.294,74.735
791.221,75.695
801.787,76.783
811.055,78.031
820.822,79.765
831.832,81.930
837.799,84.516
840.699,85.942
842.181,87.911
843.839,90.730
855.668,77.137
855.675,72.210
857.098,70.437
858.085,69.436
862.230,68.641
881.439,68.334
899.940,68.266
