T,P
0.01,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1.013219977
101,1.04991533
102,1.087703639
103,1.126609723
104,1.166658756
105,1.207876271
106,1.250288163
107,1.293920673
108,1.338800442
109,1.384954436
110,1.43241
111,1.481194838
112,1.531337024
113,1.582864995
114,1.635807554
115,1.690193871
116,1.746053485
117,1.803416301
118,1.862312594
119,1.922773004
120,1.984828544
121,2.048510593
122,2.113850903
123,2.180881593
124,2.249635152
125,2.32014444
126,2.392442686
127,2.46656349
128,2.542540822
129,2.620409022
130,2.700202798
131,2.781957232
132,2.865707772
133,2.951490236
134,3.039340814
135,3.129296063
136,3.221392908
137,3.315668644
138,3.412160934
139,3.510907808
140,3.611947664
141,3.715319265
142,3.821061744
143,3.929214597
144,4.039817685
145,4.152911237
146,4.268535844
147,4.386732459
148,4.507542403
149,4.631007354
150,4.757169354
151,4.886070808
152,5.017754478
153,5.152263488
154,5.289641318
155,5.42993181
156,5.57317916
157,5.719427922
158,5.868723004
159,6.021109672
160,6.176633544
161,6.33534059
162,6.497277134
163,6.662489851
164,6.831025767
165,7.002932256
166,7.178257042
167,7.357048196
168,7.539354138
169,7.725223631
170,7.914705784
171,8.107850051
172,8.304706228
173,8.505324454
174,8.709755209
175,8.918049313
176,9.130257926
177,9.346432545
178,9.566625008
179,9.790887485
180,10.01927248
181,10.25183285
182,10.48862176
183,10.72969272
184,10.97509957
185,11.22489649
186,11.47913798
187,11.73787879
188,12.00117424
189,12.26907974
190,12.54165111
191,12.81894449
192,13.10101635
193,13.38792348
194,13.67972299
195,13.97647234
196,14.27822927
197,14.58505187
198,14.89699856
199,15.21412805
200,15.53649939
201,15.86417195
202,16.19720542
203,16.53565979
204,16.87959539
205,17.22907286
206,17.58415315
207,17.94489754
208,18.31136762
209,18.6836253
210,19.0617328
211,19.44575267
212,19.83574774
213,20.23178121
214,20.63391655
215,21.04221757
216,21.4567484
217,21.87757346
218,22.30475751
219,22.73836562
220,23.17846317
221,23.62511588
222,24.07838976
223,24.53835115
224,25.00506672
225,25.47860344
226,25.95902862
227,26.44640987
228,26.94081514
229,27.44231271
230,27.95097115
231,28.4668594
232,28.99004669
233,29.5206026
234,30.05859703
235,30.60410021
236,31.15718272
237,31.71791545
238,32.28636965
239,32.86261688
240,33.44672907
241,34.03877848
242,34.63883771
243,35.24697972
244,35.86327781
245,36.4878053
246,37.12063687
247,37.76184656
248,38.4115091
249,39.06969959
250,39.7364935
251,40.41196667
252,41.09619531
253,41.78925602
254,42.49122578
255,43.20218195
256,43.9222023
257,44.65136497
258,45.38974854
259,46.13743197
260,46.89449463
261,47.66101632
262,48.43707726
263,49.22275811
264,50.01813994
265,50.82330429
266,51.63833312
267,52.46330887
268,53.29831442
269,54.14343315
270,54.99874888
271,55.86434594
272,56.74030915
273,57.62672382
274,58.52367578
275,59.43125138
276,60.34953751
277,61.27862156
278,62.21859152
279,63.1695359
280,64.13154379
281,65.10470489
282,66.08910945
283,67.08484835
284,68.09201309
285,69.1106958
286,70.14098925
287,71.18298686
288,72.23678274
289,73.30247169
290,74.3801492
291,75.46991149
292,76.57185551
293,77.68607899
294,78.81268039
295,79.95175901
296,81.10341492
297,82.26774905
298,83.44486318
299,84.63485994
300,85.83784289
301,87.0539165
302,88.28318619
303,89.52575833
304,90.78174033
305,92.05124059
306,93.33436859
307,94.63123489
308,95.94195116
309,97.26663022
310,98.6053861
311,99.95833403
312,101.3255905
313,102.7072733
314,104.1035016
315,105.5143959
316,106.9400782
317,108.3806718
318,109.8363018
319,111.3070946
320,112.7931785
321,114.2946832
322,115.8117406
323,117.3444839
324,118.8930485
325,120.4575717
326,122.0381929
327,123.6350536
328,125.2482973
329,126.8780701
330,128.5245205
331,130.1877993
332,131.86806
333,133.5654588
334,135.2801549
335,137.0123104
336,138.7620678
337,140.529639
338,142.3151752
339,144.1188524
340,145.9408502
341,147.7813523
342,149.6405468
343,151.5186266
344,153.4157894
345,155.332238
346,157.268181
347,159.2238331
348,161.1994151
349,163.1951551
350,165.2112886
351,167.2480592
352,169.3057195
353,171.3845318
354,173.4847689
355,175.6067155
356,177.7506692
357,179.9169423
358,182.1058634
359,184.3177796
360,186.5530595
361,188.812097
362,191.0952338
363,193.403074
364,195.7360539
365,198.094737
366,200.4797406
367,202.8917595
368,205.3315931
369,207.8002002
370,210.3228543
371,212.8566924
372,215.4255656
373,218.0320541
